title                         , comment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , sentiment, genre        , overall rating, ratings  , categories                                                                                                                           , confidence
Fruit Ninja®                  , game the good                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , hit game                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 0.999
Fruit Ninja®                  , I like it. I'm enjoying this game very much...                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , the game of buty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , NEGATIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 0.6930000000000001
Fruit Ninja®                  , good                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , love this game a blast from the past                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , best game in India all mode is best and game is update or no ads continue Playing game best fruit please try this game it is best game and 1 mistake please or high graphics for best experience but game al time best                                                                                                                                                                                                                                                                                                       , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 0.994
Fruit Ninja®                  , "lost 15 years of my progress, all things get microtransaction"                                                                                                                                                                                                                                                                                                                                                                                                                                                              , NEGATIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
Fruit Ninja®                  , i hate it because it hurts my fingers but it improves me not to be tired                                                                                                                                                                                                                                                                                                                                                                                                                                                     , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 0.996
Fruit Ninja®                  , it is very entertaining I love it I love the new Easter edition                                                                                                                                                                                                                                                                                                                                                                                                                                                              , POSITIVE , Arcade       ,      4.5215435,   5543815, "Action, Arcade, Multiplayer, Competitive multiplayer, Single player, Stylized, Cartoon, Food, Fruit, Slice"                         , 1.0
